商品代碼:2303	商品名稱:聯電

日期	開盤價	最高價	最低價	收盤價	成交量
'2007/03/19 00:00	19.2500	19.3000	19.1000	19.1500	24990
'2007/03/20 00:00	19.2500	19.3500	19.0500	19.1500	37321
'2007/03/21 00:00	19.3000	19.4500	19.2000	19.3000	29348
'2007/03/22 00:00	19.6500	19.7000	19.5000	19.6000	74719
'2007/03/23 00:00	19.6000	19.6500	19.4000	19.5000	33198
'2007/03/26 00:00	19.6000	19.6500	19.4500	19.4500	23557
'2007/03/27 00:00	19.4500	19.6000	19.4000	19.4500	40749
'2007/03/28 00:00	19.4000	19.4500	19.2000	19.2500	43650
'2007/03/29 00:00	19.1500	19.2500	19.1000	19.2000	71307
'2007/03/30 00:00	19.2000	19.2000	19.0000	19.1000	53194
'2007/04/02 00:00	19.0500	19.2500	19.0000	19.1000	42355
'2007/04/03 00:00	19.1000	19.1500	19.0500	19.1500	31477
'2007/04/04 00:00	19.3000	19.3500	19.2500	19.3000	38259
'2007/04/09 00:00	19.4000	19.5500	19.3500	19.4000	39717
'2007/04/10 00:00	19.4500	19.5000	19.3500	19.5000	52619
'2007/04/11 00:00	19.5500	19.8000	19.5000	19.5000	66962
'2007/04/12 00:00	19.4000	19.4500	19.3000	19.3500	43204
'2007/04/13 00:00	19.3500	19.4500	19.1000	19.1000	40625
'2007/04/14 00:00	19.1500	19.2500	19.1500	19.2000	9614
'2007/04/16 00:00	19.2000	19.3000	19.0500	19.2000	42432
'2007/04/17 00:00	19.2000	19.3000	19.0500	19.1000	29106
'2007/04/18 00:00	19.0500	19.2500	19.0500	19.2500	17767
'2007/04/19 00:00	19.2000	19.2000	19.0000	19.0000	38101
'2007/04/20 00:00	19.0000	19.1000	19.0000	19.0500	16093
'2007/04/23 00:00	19.1000	19.3000	19.1000	19.1000	24794
'2007/04/24 00:00	19.1000	19.2500	19.0500	19.1500	24908
'2007/04/25 00:00	19.2000	19.2500	19.0500	19.0500	29688
'2007/04/26 00:00	19.2500	19.2500	19.0500	19.0500	24154
'2007/04/27 00:00	19.1500	19.2500	19.0500	19.0500	33933
'2007/04/30 00:00	19.1500	19.1500	19.0000	19.1000	25847
'2007/05/02 00:00	19.1000	19.2000	19.1000	19.2000	27821
'2007/05/03 00:00	19.4000	19.5000	19.3000	19.4000	56622
'2007/05/04 00:00	19.5000	19.6000	19.4500	19.6000	58243
'2007/05/07 00:00	19.7000	19.7500	19.6500	19.7000	57003
'2007/05/08 00:00	19.7500	19.8000	19.6500	19.6500	28684
'2007/05/09 00:00	19.6500	19.7000	19.4500	19.5000	23689
'2007/05/10 00:00	19.6000	19.6500	19.5000	19.6000	27794
'2007/05/11 00:00	19.3500	19.4000	19.3000	19.3000	27252
'2007/05/14 00:00	19.3500	19.6500	19.3500	19.6000	36435
'2007/05/15 00:00	19.4500	19.5000	19.3000	19.3500	25051
'2007/05/16 00:00	19.3000	19.4000	19.2000	19.3000	21675
'2007/05/17 00:00	19.3000	19.5000	19.2500	19.3000	49775
'2007/05/18 00:00	19.2500	19.3000	19.1000	19.2000	201604
'2007/05/21 00:00	18.9500	19.3500	18.9500	19.3000	150216
'2007/05/22 00:00	19.2000	19.3500	19.2000	19.3000	47035
'2007/05/23 00:00	19.3500	20.1500	19.3500	19.8000	121737
'2007/05/24 00:00	19.8500	19.9500	19.6000	19.7000	41974
'2007/05/25 00:00	19.5500	19.6000	19.3000	19.5000	70045
'2007/05/28 00:00	19.5500	19.6500	19.4500	19.5500	14585
'2007/05/29 00:00	19.5500	19.7000	19.4000	19.4000	15487
'2007/05/30 00:00	19.4000	19.4500	19.2000	19.4000	34325
'2007/05/31 00:00	19.5500	19.6000	19.2000	19.2000	58758
'2007/06/01 00:00	19.4000	19.5500	19.3500	19.5000	23967
'2007/06/04 00:00	19.7000	19.9000	19.7000	19.8500	57728
'2007/06/05 00:00	20.0000	20.0000	19.7000	19.9000	36551
'2007/06/06 00:00	19.8500	20.1500	19.7000	20.0000	54316
'2007/06/07 00:00	19.8500	20.0500	19.7500	19.9500	39977
'2007/06/08 00:00	19.7500	19.7500	19.6000	19.7000	35969
'2007/06/11 00:00	19.8000	20.1000	19.7500	20.0000	66130
'2007/06/12 00:00	20.0000	20.0500	19.8000	19.8000	37764
'2007/06/13 00:00	19.6000	19.7000	19.6000	19.6500	31933
'2007/06/14 00:00	19.8500	20.2500	19.8500	20.0000	81643
'2007/06/15 00:00	20.0000	20.0500	19.8500	19.8500	44094
'2007/06/20 00:00	20.2500	20.3000	20.0000	20.3000	171928
'2007/06/21 00:00	20.4000	20.4000	20.0500	20.1500	82790
'2007/06/22 00:00	20.2000	20.3000	20.0000	20.0500	49961
'2007/06/23 00:00	19.9000	20.0000	19.8500	19.9000	18972
'2007/06/25 00:00	19.9000	20.2000	19.9000	20.0000	56240
'2007/06/26 00:00	20.0000	20.0500	19.8000	19.8500	47098
'2007/06/27 00:00	19.8500	20.0000	19.8000	19.8500	33870
'2007/06/28 00:00	20.0000	20.1500	19.9000	20.0000	61831
'2007/06/29 00:00	20.0000	20.0500	19.8500	19.8500	41085
'2007/07/02 00:00	19.8500	20.0000	19.7500	20.0000	27321
